
2024/04/07 (19:20:02) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/07 (19:20:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/07 (19:20:02) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/07 (19:20:02) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/07 (19:20:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/07 (19:20:05) | ===> btop++ v.1.3.2
2024/04/07 (19:20:05) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/07 (19:20:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/07 (19:20:05) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/07 (19:20:05) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/07 (19:20:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/07 (19:20:11) | ===> btop++ v.1.3.2
2024/04/07 (19:20:11) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/07 (19:20:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/07 (19:20:11) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/07 (19:20:11) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/07 (19:20:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/07 (19:20:13) | ===> btop++ v.1.3.2
2024/04/07 (19:20:13) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/07 (19:20:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/07 (19:20:13) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/07 (19:20:13) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/07 (19:20:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/10 (19:39:05) | ===> btop++ v.1.3.2
2024/04/10 (19:39:05) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/10 (19:39:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/10 (19:39:05) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/10 (19:39:05) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/10 (19:39:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/17 (09:00:45) | ===> btop++ v.1.3.2
2024/04/17 (09:00:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/17 (09:00:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/17 (09:00:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/17 (09:00:45) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/17 (09:00:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/17 (09:01:11) | ===> btop++ v.1.3.2
2024/04/17 (09:01:11) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/17 (09:01:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/17 (09:01:11) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/17 (09:01:11) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/17 (09:01:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/17 (09:01:30) | ===> btop++ v.1.3.2
2024/04/17 (09:01:30) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/17 (09:01:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/17 (09:01:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/17 (09:01:30) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/17 (09:01:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/17 (09:01:33) | ===> btop++ v.1.3.2
2024/04/17 (09:01:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/17 (09:01:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/17 (09:01:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/17 (09:01:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/17 (09:01:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/17 (09:01:36) | ===> btop++ v.1.3.2
2024/04/17 (09:01:36) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/17 (09:01:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/17 (09:01:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/17 (09:01:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/17 (09:01:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/17 (09:01:58) | ===> btop++ v.1.3.2
2024/04/17 (09:01:58) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/17 (09:01:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/17 (09:01:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/17 (09:01:58) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/17 (09:01:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/17 (09:02:01) | ===> btop++ v.1.3.2
2024/04/17 (09:02:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/17 (09:02:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/17 (09:02:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/17 (09:02:01) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/17 (09:02:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/21 (20:32:08) | ===> btop++ v.1.3.2
2024/04/21 (20:32:08) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/21 (20:32:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/21 (20:32:08) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/21 (20:32:08) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/21 (20:32:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/27 (17:27:44) | ===> btop++ v.1.3.2
2024/04/27 (17:27:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/27 (17:27:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/27 (17:27:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/27 (17:27:44) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/27 (17:27:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/01 (09:49:25) | ===> btop++ v.1.3.2
2024/05/01 (09:49:25) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/01 (09:49:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/01 (09:49:25) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/01 (09:49:25) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/01 (09:49:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/01 (09:51:26) | ===> btop++ v.1.3.2
2024/05/01 (09:51:26) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/01 (09:51:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/01 (09:51:26) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/01 (09:51:26) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/01 (09:51:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/02 (08:57:24) | ===> btop++ v.1.3.2
2024/05/02 (08:57:24) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/02 (08:57:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/02 (08:57:24) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/02 (08:57:24) | WARNING: ROCm SMI: Failed to get GPU power usage
